episode: 0 	finetune acc:0.606250 		test acc:0.629167
episode: 30 	finetune acc:0.700000 		test acc:0.758333
episode: 60 	finetune acc:0.737500 		test acc:0.783333
episode: 90 	finetune acc:0.837500 		test acc:0.825000
episode: 120 	finetune acc:0.843750 		test acc:0.808333
episode: 150 	finetune acc:0.831250 		test acc:0.843750
episode: 180 	finetune acc:0.837500 		test acc:0.850000
episode: 210 	finetune acc:0.893750 		test acc:0.875000
episode: 240 	finetune acc:0.843750 		test acc:0.847917
episode: 270 	finetune acc:0.862500 		test acc:0.889583
episode: 300 	finetune acc:0.893750 		test acc:0.887500
episode: 330 	finetune acc:0.912500 		test acc:0.893750
episode: 360 	finetune acc:0.900000 		test acc:0.860417
episode: 390 	finetune acc:0.831250 		test acc:0.893750
episode: 420 	finetune acc:0.975000 		test acc:0.870833
episode: 450 	finetune acc:0.881250 		test acc:0.904167
episode: 480 	finetune acc:0.862500 		test acc:0.864583
episode: 510 	finetune acc:0.918750 		test acc:0.885417
episode: 540 	finetune acc:0.918750 		test acc:0.916667
episode: 570 	finetune acc:0.818750 		test acc:0.900000
episode: 600 	finetune acc:0.875000 		test acc:0.893750
episode: 630 	finetune acc:0.918750 		test acc:0.877083
episode: 660 	finetune acc:0.881250 		test acc:0.900000
episode: 690 	finetune acc:0.918750 		test acc:0.904167
episode: 720 	finetune acc:0.868750 		test acc:0.893750
episode: 750 	finetune acc:0.893750 		test acc:0.881250
episode: 780 	finetune acc:0.906250 		test acc:0.897917
episode: 810 	finetune acc:0.881250 		test acc:0.895833
episode: 840 	finetune acc:0.937500 		test acc:0.910417
episode: 870 	finetune acc:0.843750 		test acc:0.902083
episode: 900 	finetune acc:0.925000 		test acc:0.927083
episode: 930 	finetune acc:0.912500 		test acc:0.922917
episode: 960 	finetune acc:0.931250 		test acc:0.925000
episode: 990 	finetune acc:0.931250 		test acc:0.910417
episode: 1020 	finetune acc:0.943750 		test acc:0.927083
episode: 1050 	finetune acc:0.912500 		test acc:0.908333
episode: 1080 	finetune acc:0.962500 		test acc:0.906250
episode: 1110 	finetune acc:0.900000 		test acc:0.897917
episode: 1140 	finetune acc:0.925000 		test acc:0.912500
episode: 1170 	finetune acc:0.900000 		test acc:0.918750
episode: 1200 	finetune acc:0.943750 		test acc:0.916667
episode: 1230 	finetune acc:0.968750 		test acc:0.937500
episode: 1260 	finetune acc:0.856250 		test acc:0.914583
episode: 1290 	finetune acc:0.900000 		test acc:0.918750
episode: 1320 	finetune acc:0.912500 		test acc:0.922917
episode: 1350 	finetune acc:0.900000 		test acc:0.902083
episode: 1380 	finetune acc:0.912500 		test acc:0.933333
episode: 1410 	finetune acc:0.962500 		test acc:0.947917
episode: 1440 	finetune acc:0.925000 		test acc:0.908333
episode: 1470 	finetune acc:0.912500 		test acc:0.931250
episode: 1500 	finetune acc:0.912500 		test acc:0.943750
episode: 1530 	finetune acc:0.950000 		test acc:0.927083
episode: 1560 	finetune acc:0.981250 		test acc:0.916667
episode: 1590 	finetune acc:0.918750 		test acc:0.929167
episode: 1620 	finetune acc:0.887500 		test acc:0.945833
episode: 1650 	finetune acc:0.893750 		test acc:0.933333
episode: 1680 	finetune acc:0.962500 		test acc:0.918750
episode: 1710 	finetune acc:0.931250 		test acc:0.929167
episode: 1740 	finetune acc:0.937500 		test acc:0.939583
episode: 1770 	finetune acc:0.906250 		test acc:0.931250
episode: 1800 	finetune acc:0.918750 		test acc:0.937500
